feature,shap_importance
SumInsured,1190.6963244836409
CalculatedPremiumPerTerm,233.51917038414092
TotalPremium,199.5474993215598
PostalCode,179.5880945030772
mmcode,169.76478967684304
cubiccapacity,50.633870618248324
Month,41.5372428350372
RegistrationYear,41.31952508992662
PolicyMonth,38.09488347580632
VehicleAge,37.42671295580605
